rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.18,0.3,93.85
2,3,Liverpool,Barclays Premier League,2.97,0.22,93.82
3,2,Bayern Munich,German Bundesliga,3.45,0.45,93.41
4,4,Paris Saint-Germain,French Ligue 1,3.03,0.49,90.46
5,5,Real Madrid,Spanish Primera Division,2.79,0.41,89.75
6,6,Barcelona,Spanish Primera Division,2.88,0.51,88.84
7,7,Atletico Madrid,Spanish Primera Division,2.21,0.29,86.73
8,9,RB Leipzig,German Bundesliga,2.73,0.59,86.26
9,8,Chelsea,Barclays Premier League,2.47,0.51,85.02
10,10,Juventus,Italy Serie A,2.51,0.56,84.52
11,12,Borussia Dortmund,German Bundesliga,2.56,0.68,82.81
12,11,Leicester City,Barclays Premier League,2.28,0.52,82.63
13,13,Tottenham Hotspur,Barclays Premier League,2.37,0.61,81.9
14,14,Ajax,Dutch Eredivisie,2.92,0.98,81.43
15,17,Manchester United,Barclays Premier League,2.18,0.54,81.06
16,15,Internazionale,Italy Serie A,2.33,0.64,80.71
17,16,Sevilla FC,Spanish Primera Division,2.08,0.5,80.52
18,18,FC Salzburg,Austrian T-Mobile Bundesliga,2.88,1.07,79.34
19,19,Bayer Leverkusen,German Bundesliga,2.2,0.63,79.25
20,20,Getafe,Spanish Primera Division,1.78,0.38,79.09
21,21,Napoli,Italy Serie A,2.27,0.7,78.78
22,25,Everton,Barclays Premier League,2.05,0.57,78.48
23,22,Atalanta,Italy Serie A,2.4,0.8,78.39
24,28,Wolverhampton,Barclays Premier League,2.0,0.56,78.08
25,23,Real Sociedad,Spanish Primera Division,2.2,0.69,77.99
26,24,Benfica,Portuguese Liga,2.25,0.73,77.92
27,26,AS Roma,Italy Serie A,2.17,0.7,77.41
28,27,Zenit St Petersburg,Russian Premier Liga,2.03,0.64,76.67
29,30,Arsenal,Barclays Premier League,2.14,0.72,76.4
30,29,FC Porto,Portuguese Liga,1.93,0.6,75.98
31,31,Borussia Monchengladbach,German Bundesliga,2.18,0.8,75.25
32,32,VfL Wolfsburg,German Bundesliga,1.88,0.65,74.03
33,33,Lazio,Italy Serie A,2.13,0.82,74.02
34,34,Olympiacos,Greek Super League,2.08,0.79,73.92
35,35,Athletic Bilbao,Spanish Primera Division,1.72,0.54,73.73
36,36,Villarreal,Spanish Primera Division,2.15,0.85,73.62
37,38,Club Brugge,Belgian Jupiler League,2.05,0.79,73.52
38,37,Valencia,Spanish Primera Division,2.11,0.85,73.07
39,41,Sheffield United,Barclays Premier League,1.79,0.62,72.98
40,39,Flamengo,Brasileiro Série A,2.08,0.88,71.72
41,40,Lyon,French Ligue 1,1.88,0.75,71.54
42,42,AC Milan,Italy Serie A,1.85,0.73,71.27
43,53,Brighton and Hove Albion,Barclays Premier League,1.89,0.76,71.24
44,43,Osasuna,Spanish Primera Division,1.94,0.82,70.91
45,55,Watford,Barclays Premier League,1.87,0.78,70.44
46,45,Eibar,Spanish Primera Division,1.79,0.73,70.32
47,46,TSG Hoffenheim,German Bundesliga,2.18,1.02,70.25
48,47,Eintracht Frankfurt,German Bundesliga,2.1,0.97,70.21
49,48,PAOK Salonika,Greek Super League,2.01,0.91,70.0
50,49,Shakhtar Donetsk,UEFA Europa League,2.13,1.01,69.87
51,50,Marseille,French Ligue 1,1.84,0.78,69.82
52,51,Crystal Palace,Barclays Premier League,1.76,0.73,69.75
53,69,Southampton,Barclays Premier League,1.9,0.84,69.75
54,52,AS Monaco,French Ligue 1,1.99,0.91,69.63
55,57,Rangers,Scottish Premiership,2.03,0.97,69.06
56,54,Real Betis,Spanish Primera Division,1.96,0.91,69.03
57,44,Burnley,Barclays Premier League,1.79,0.79,68.81
58,58,Basel,Swiss Raiffeisen Super League,2.09,1.06,68.03
59,59,Schalke 04,German Bundesliga,1.95,0.96,67.8
60,61,Lille,French Ligue 1,1.76,0.81,67.62
61,62,Espanyol,Spanish Primera Division,1.79,0.84,67.58
62,63,AZ,Dutch Eredivisie,2.0,1.01,67.5
63,64,FC Krasnodar,Russian Premier Liga,1.77,0.84,67.26
64,65,Granada,Spanish Primera Division,1.71,0.79,67.24
65,66,Celta Vigo,Spanish Primera Division,1.79,0.85,67.22
66,67,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
67,72,West Ham United,Barclays Premier League,1.93,0.98,66.85
68,70,Fiorentina,Italy Serie A,1.84,0.91,66.77
69,71,Palmeiras,Brasileiro Série A,1.67,0.79,66.46
70,60,Leeds United,English League Championship,1.81,0.91,66.22
71,92,Brentford,English League Championship,1.66,0.8,66.16
72,73,Leganes,Spanish Primera Division,1.61,0.76,66.05
73,56,AFC Bournemouth,Barclays Premier League,1.78,0.9,65.91
74,74,Montpellier,French Ligue 1,1.6,0.77,65.59
75,75,Alavés,Spanish Primera Division,1.72,0.87,65.51
76,76,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
77,77,LASK Linz,Austrian T-Mobile Bundesliga,1.9,1.02,65.39
78,78,Hertha Berlin,German Bundesliga,1.81,0.95,65.28
79,68,Celtic,Scottish Premiership,1.86,1.0,65.27
80,79,Santos,Brasileiro Série A,1.6,0.78,65.25
81,80,River Plate,Argentina Primera Division,1.81,0.96,65.08
82,81,FC Augsburg,German Bundesliga,1.92,1.06,64.8
83,83,FC Cologne,German Bundesliga,1.75,0.93,64.6
84,84,Angers,French Ligue 1,1.54,0.75,64.59
85,85,CSKA Moscow,Russian Premier Liga,1.63,0.84,64.35
86,86,1. FC Union Berlin,German Bundesliga,1.72,0.92,64.16
87,87,Young Boys,Swiss Raiffeisen Super League,2.13,1.26,64.11
88,88,Sporting CP,Portuguese Liga,1.72,0.93,64.0
89,89,SC Freiburg,German Bundesliga,1.87,1.06,63.95
90,91,Bologna,Italy Serie A,1.86,1.05,63.86
91,93,PSV,Dutch Eredivisie,2.06,1.23,63.5
92,94,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
93,95,Stade Rennes,French Ligue 1,1.55,0.83,63.13
94,96,Mainz,German Bundesliga,1.98,1.18,63.08
95,97,Werder Bremen,German Bundesliga,1.94,1.15,63.06
96,98,Levante,Spanish Primera Division,1.96,1.19,62.79
97,99,Grêmio,Brasileiro Série A,1.65,0.93,62.69
98,100,Strasbourg,French Ligue 1,1.6,0.9,62.18
99,101,Atlético Paranaense,Brasileiro Série A,1.42,0.75,62.05
100,102,Nantes,French Ligue 1,1.45,0.78,62.05
101,103,Real Valladolid,Spanish Primera Division,1.53,0.85,61.94
102,104,Sampdoria,Italy Serie A,1.56,0.88,61.87
103,105,Braga,Portuguese Liga,1.69,0.99,61.8
104,106,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
105,107,Reims,French Ligue 1,1.38,0.73,61.77
106,90,Aston Villa,Barclays Premier League,1.87,1.16,61.64
107,108,Malmo FF,Swedish Allsvenskan,1.58,0.91,61.61
108,109,Sassuolo,Italy Serie A,1.76,1.06,61.48
